C4N14_03280
C4N14_02960
C4N14_09830
C4N14_05965
FoxI
C4N14_03355
C4N14_09820
C4N14_09825
C4N14_09130
C4N14_09125
C4N14_08200
C4N14_07915
C4N14_07920
C4N14_09840
C4N14_05930
C4N14_09850
C4N14_06785
C4N14_03135
C4N14_03630
C4N14_05935
C4N14_06060
C4N14_05940
C4N14_05955
C4N14_01185
C4N14_09845
C4N14_05960
C4N14_07925
C4N14_05945
C4N14_04025
C4N14_05950
C4N14_06795
C4N14_06065
C4N14_06685
C4N14_06080
C4N14_06790
C4N14_06090
C4N14_06125
C4N14_06105
C4N14_03635
FunR7
C4N14_06085
C4N14_06095
C4N14_07930
C4N14_06120
C4N14_06070
C4N14_06690
C4N14_08460
C4N14_06075
C4N14_08420
C4N14_06100
C4N14_08425
C4N14_08415
C4N14_08440
C4N14_01180
C4N14_09835
C4N14_06110
C4N14_05525
C4N14_04020
C4N14_03890
C4N14_08450
C4N14_08430
C4N14_08455
C4N14_01565
C4N14_01300
C4N14_03940
C4N14_03885
C4N14_06775
C4N14_06115
C4N14_08435
C4N14_03895
C4N14_03905
C4N14_08445
C4N14_03900
C4N14_01295
C4N14_10275
C4N14_06800
C4N14_03935
C4N14_03520
C4N14_06780
C4N14_03910
C4N14_03535
C4N14_03130
C4N14_03930
C4N14_03925
C4N14_03915
C4N14_10265
C4N14_10260
C4N14_07010
C4N14_07005
C4N14_03530
C4N14_04030
C4N14_03920
C4N14_10255
C4N14_03880
C4N14_03525
C4N14_10270
C4N14_07030
C4N14_05180
C4N14_08750
C4N14_08740
C4N14_07015
C4N14_07025
C4N14_08730
C4N14_05250
C4N14_07020
C4N14_05230
C4N14_07035
C4N14_05245
C4N14_05240
C4N14_05420
C4N14_08745
C4N14_08725
C4N14_08735
C4N14_05215
C4N14_05235
C4N14_05190
C4N14_05220
C4N14_08720
C4N14_05205
C4N14_05200
C4N14_05185
C4N14_05225
C4N14_05195
C4N14_05210
C4N14_07040

