"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu01240",91,"Up",0.00244573278587201,0.00759020519753383,4.10913332531816e-10,1.94643157515071e-09,"Biosynthesis of cofactors","cds-C4N14_02390;cds-C4N14_02395;cds-C4N14_02400;cds-C4N14_02625;cds-C4N14_02695;cds-C4N14_02740;cds-C4N14_02745;cds-C4N14_02805;cds-C4N14_04135;cds-C4N14_04160;cds-C4N14_04575;cds-C4N14_04695;cds-C4N14_05140;cds-C4N14_05175;cds-C4N14_05240;cds-C4N14_10080;cds-C4N14_10075;cds-C4N14_10070;cds-C4N14_10065;cds-C4N14_10060;cds-C4N14_10055;cds-C4N14_10045;cds-C4N14_10040;cds-C4N14_09955;cds-C4N14_09925;cds-C4N14_09755;cds-C4N14_09545;cds-C4N14_09540;cds-C4N14_09260;cds-C4N14_09020;cds-C4N14_09015;cds-C4N14_09010;cds-C4N14_08690;cds-C4N14_08670;cds-C4N14_08525;cds-C4N14_08400;cds-C4N14_07930;cds-C4N14_07925;cds-C4N14_07920;cds-C4N14_07725;cds-C4N14_07620;cds-C4N14_07615;cds-C4N14_07610;cds-C4N14_07605;cds-C4N14_07415;cds-C4N14_07410;cds-C4N14_07405;cds-C4N14_07380;cds-C4N14_07370;cds-C4N14_07355;cds-C4N14_07345;cds-C4N14_07340;cds-C4N14_07325;cds-C4N14_07315;cds-C4N14_07300;cds-C4N14_07290;cds-C4N14_07175;cds-C4N14_07170;cds-C4N14_07165;cds-C4N14_07100;cds-C4N14_06485;cds-C4N14_06120;cds-C4N14_05815;cds-C4N14_05800;cds-C4N14_05620;cds-C4N14_05600;cds-C4N14_10135;cds-C4N14_10735;cds-C4N14_10865;cds-C4N14_00055;cds-C4N14_00060;cds-C4N14_00065;cds-C4N14_00070;cds-C4N14_00245;cds-C4N14_00250;cds-C4N14_00585;cds-C4N14_00670;cds-C4N14_01225;cds-C4N14_01230;cds-C4N14_01235;cds-C4N14_01330;cds-C4N14_01335;cds-C4N14_01340;cds-C4N14_01345;cds-C4N14_01355;cds-C4N14_01360;cds-C4N14_01365;cds-C4N14_01515;cds-C4N14_03415;cds-C4N14_02030;cds-C4N14_02080"
"fnu00640",9,"Up",0.00277639713380886,0.00832919140142658,0.00432520711193041,0.0067115282771334,"Propanoate metabolism","cds-C4N14_04670;cds-C4N14_10115;cds-C4N14_10110;cds-C4N14_08295;cds-C4N14_06275;cds-C4N14_06265;cds-C4N14_06260;cds-C4N14_10550;cds-C4N14_00210"
"fnu02060",12,"Down",0.00301153897918692,0.00870809650390135,0.000513891292814167,0.000872645591571226,"Phosphotransferase system (PTS)","cds-C4N14_09095;cds-C4N14_09090;cds-C4N14_09080;cds-C4N14_07595;cds-C4N14_10630;cds-C4N14_10635;cds-C4N14_10880;cds-C4N14_00270;cds-C4N14_01480;cds-C4N14_01530;cds-C4N14_01535;cds-C4N14_03445"
"fnu00561",7,"Up",0.00315214337927871,0.00870809650390135,0.0106289804201102,0.015682102259179,"Glycerolipid metabolism","cds-C4N14_04115;cds-C4N14_09955;cds-C4N14_09805;cds-C4N14_09555;cds-C4N14_03870;cds-C4N14_03865;cds-C4N14_03860"
"fnu00650",21,"Up",0.00323274342645183,0.00870809650390135,4.04923731103228e-07,9.59029889455013e-07,"Butanoate metabolism","cds-C4N14_02800;cds-C4N14_04375;cds-C4N14_04380;cds-C4N14_04385;cds-C4N14_04390;cds-C4N14_04395;cds-C4N14_04400;cds-C4N14_04670;cds-C4N14_04720;cds-C4N14_04725;cds-C4N14_09750;cds-C4N14_09135;cds-C4N14_08295;cds-C4N14_07070;cds-C4N14_07065;cds-C4N14_06270;cds-C4N14_10535;cds-C4N14_10550;cds-C4N14_00210;cds-C4N14_03785;cds-C4N14_03780"
"fnu00521",5,"Up",0.00337572328558079,0.00870809650390135,0.0141577489093114,0.0205515709973875,"Streptomycin biosynthesis","cds-C4N14_09430;cds-C4N14_06300;cds-C4N14_05615;cds-C4N14_00890;cds-C4N14_01020"
"fnu01232",23,"Up",0.00338648197373941,0.00870809650390135,1.11777524436245e-14,3.35332573308736e-13,"Nucleotide metabolism","cds-C4N14_01785;cds-C4N14_01780;cds-C4N14_04570;cds-C4N14_04795;cds-C4N14_04920;cds-C4N14_05240;cds-C4N14_10085;cds-C4N14_10005;cds-C4N14_09810;cds-C4N14_08410;cds-C4N14_07025;cds-C4N14_05980;cds-C4N14_05620;cds-C4N14_05485;cds-C4N14_10640;cds-C4N14_10840;cds-C4N14_00370;cds-C4N14_00585;cds-C4N14_00595;cds-C4N14_00670;cds-C4N14_03565;cds-C4N14_01845;cds-C4N14_02045"
"fnu00280",5,"Up",0.00361961786427332,0.0090490446606833,0.114555424113465,0.147903781621254,"Valine, leucine and isoleucine degradation","cds-C4N14_09955;cds-C4N14_09750;cds-C4N14_08295;cds-C4N14_10550;cds-C4N14_00210"
"fnu00630",3,"Up",0.00374799505554788,0.00911674472971107,0.676716078085879,0.742737158874745,"Glyoxylate and dicarboxylate metabolism","cds-C4N14_09750;cds-C4N14_03800;cds-C4N14_03790"
"fnu01212",15,"Up",0.00426302447699463,0.00993926393746923,3.00032050490711e-06,6.92381654978563e-06,"Fatty acid metabolism","cds-C4N14_04120;cds-C4N14_04125;cds-C4N14_04135;cds-C4N14_04250;cds-C4N14_10115;cds-C4N14_10110;cds-C4N14_09755;cds-C4N14_09750;cds-C4N14_09260;cds-C4N14_08295;cds-C4N14_07840;cds-C4N14_06535;cds-C4N14_10550;cds-C4N14_00210;cds-C4N14_03815"
