"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnc01120",52,"Up",0.661212415929758,0.850038155746327,0.071010376148317,0.357819004761176,"Microbial metabolism in diverse environments","HMPREF0946_RS03405;HMPREF0946_RS03565;HMPREF0946_RS03590;HMPREF0946_RS03650;HMPREF0946_RS03850;HMPREF0946_RS04095;HMPREF0946_RS04180;HMPREF0946_RS04685;HMPREF0946_RS04735;HMPREF0946_RS04740;HMPREF0946_RS04820;HMPREF0946_RS05305;HMPREF0946_RS05705;HMPREF0946_RS05745;HMPREF0946_RS05750;HMPREF0946_RS05910;HMPREF0946_RS06390;HMPREF0946_RS06415;HMPREF0946_RS06425;HMPREF0946_RS06495;HMPREF0946_RS06765;HMPREF0946_RS07010;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS08675;HMPREF0946_RS09265;HMPREF0946_RS10960;HMPREF0946_RS09880;HMPREF0946_RS10110;HMPREF0946_RS10115;HMPREF0946_RS10120;HMPREF0946_RS10130;HMPREF0946_RS02810;HMPREF0946_RS02500;HMPREF0946_RS02495;HMPREF0946_RS02490;HMPREF0946_RS02480;HMPREF0946_RS02475;HMPREF0946_RS01900;HMPREF0946_RS01890;HMPREF0946_RS01885;HMPREF0946_RS01880;HMPREF0946_RS01410;HMPREF0946_RS00335;HMPREF0946_RS00220;HMPREF0946_RS10540;HMPREF0946_RS03195;HMPREF0946_RS03190;HMPREF0946_RS03170;HMPREF0946_RS03035;HMPREF0946_RS00550"
"fnc00710",8,"Up",0.666136791476246,0.850038155746327,0.561076799299588,1,"Carbon fixation by Calvin cycle","HMPREF0946_RS04180;HMPREF0946_RS04735;HMPREF0946_RS04740;HMPREF0946_RS06495;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS03035"
"fnc00523",1,"Down",0.671082754536574,0.850038155746327,0.671082754536574,1,"Polyketide sugar unit biosynthesis","HMPREF0946_RS09755"
"fnc00552",3,"Up",0.686075136215262,0.857593920269078,1,1,"Teichoic acid biosynthesis","HMPREF0946_RS06830;HMPREF0946_RS09785;HMPREF0946_RS09860"
"fnc00340",3,"Up",0.695920487558481,0.858603198935789,1,1,"Histidine metabolism","HMPREF0946_RS03405;HMPREF0946_RS04465;HMPREF0946_RS04720"
"fnc00250",10,"Down",0.717910751627883,0.87437847954678,0.357127350208516,0.921012640011436,"Alanine, aspartate and glutamate metabolism","HMPREF0946_RS03565;HMPREF0946_RS04525;HMPREF0946_RS04650;HMPREF0946_RS05605;HMPREF0946_RS06335;HMPREF0946_RS07010;HMPREF0946_RS07705;HMPREF0946_RS01590;HMPREF0946_RS10865;HMPREF0946_RS03270"
"fnc00030",10,"Up",0.73518426185391,0.884082340204068,0.406195536022922,0.947789584053484,"Pentose phosphate pathway","HMPREF0946_RS03850;HMPREF0946_RS04180;HMPREF0946_RS04740;HMPREF0946_RS08275;HMPREF0946_RS08465;HMPREF0946_RS08470;HMPREF0946_RS10110;HMPREF0946_RS10115;HMPREF0946_RS10540;HMPREF0946_RS00550"
"fnc02060",9,"Up",0.774915383374821,0.894500025063989,0.794867720266082,1,"Phosphotransferase system (PTS)","HMPREF0946_RS05280;HMPREF0946_RS08660;HMPREF0946_RS08670;HMPREF0946_RS08675;HMPREF0946_RS09280;HMPREF0946_RS09520;HMPREF0946_RS01020;HMPREF0946_RS00685;HMPREF0946_RS00620"
"fnc00230",19,"Up",0.779296283667323,0.894500025063989,0.26521799305505,0.742610380554139,"Purine metabolism","HMPREF0946_RS03850;HMPREF0946_RS04505;HMPREF0946_RS05060;HMPREF0946_RS05325;HMPREF0946_RS05595;HMPREF0946_RS05600;HMPREF0946_RS05605;HMPREF0946_RS05610;HMPREF0946_RS05620;HMPREF0946_RS07140;HMPREF0946_RS07705;HMPREF0946_RS09235;HMPREF0946_RS09240;HMPREF0946_RS10385;HMPREF0946_RS10390;HMPREF0946_RS01590;HMPREF0946_RS01565;HMPREF0946_RS00230;HMPREF0946_RS00550"
"fnc00625",1,"Down",0.779991733138065,0.894500025063989,0.779991733138065,1,"Chloroalkane and chloroalkene degradation","HMPREF0946_RS03405"
"fnc02040",1,"Up",0.781510548213801,0.894500025063989,0.781510548213801,1,"Flagellar assembly","HMPREF0946_RS07225"
"rpoE",64,"Up",0.79535022435371,0.899503229923839,0.0852796673328719,0.35804036131142,"rpoE","HMPREF0946_RS09935;HMPREF0946_RS00600;HMPREF0946_RS00870;HMPREF0946_RS01085;HMPREF0946_RS01090;HMPREF0946_RS01755;HMPREF0946_RS02000;HMPREF0946_RS02005;HMPREF0946_RS02010;HMPREF0946_RS02015;HMPREF0946_RS02020;HMPREF0946_RS02025;HMPREF0946_RS02030;HMPREF0946_RS02040;HMPREF0946_RS02055;HMPREF0946_RS02085;HMPREF0946_RS07770;HMPREF0946_RS07750;HMPREF0946_RS07725;HMPREF0946_RS07720;HMPREF0946_RS07715;HMPREF0946_RS07705;HMPREF0946_RS07215;HMPREF0946_RS06840;HMPREF0946_RS06695;HMPREF0946_RS06690;HMPREF0946_RS06680;HMPREF0946_RS06670;HMPREF0946_RS06665;HMPREF0946_RS06660;HMPREF0946_RS06655;HMPREF0946_RS06640;HMPREF0946_RS06635;HMPREF0946_RS06090;HMPREF0946_RS06085;HMPREF0946_RS06010;HMPREF0946_RS06005;HMPREF0946_RS05995;HMPREF0946_RS05985;HMPREF0946_RS05805;HMPREF0946_RS05800;HMPREF0946_RS05795;HMPREF0946_RS05790;HMPREF0946_RS05775;HMPREF0946_RS05770;HMPREF0946_RS04970;HMPREF0946_RS04960;HMPREF0946_RS04955;HMPREF0946_RS04770;HMPREF0946_RS04560;HMPREF0946_RS04550;HMPREF0946_RS04525;HMPREF0946_RS04520;HMPREF0946_RS04515;HMPREF0946_RS06585;HMPREF0946_RS06590;HMPREF0946_RS03540;HMPREF0946_RS03535;HMPREF0946_RS03530;HMPREF0946_RS03520;HMPREF0946_RS03035;HMPREF0946_RS03030;HMPREF0946_RS03025;HMPREF0946_RS03020"
