"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnc00760",6,"Up",0.179289864454702,0.337341522977293,0.971626698953054,1,"Nicotinate and nicotinamide metabolism","HMPREF0946_RS06435;HMPREF0946_RS06640;HMPREF0946_RS07805;HMPREF0946_RS08570;HMPREF0946_RS10865;HMPREF0946_RS10860"
"fnc01240",48,"Up",0.18109913338781,0.337341522977293,0.0035397760064253,0.0315659057930453,"Biosynthesis of cofactors","HMPREF0946_RS03405;HMPREF0946_RS03775;HMPREF0946_RS04290;HMPREF0946_RS04460;HMPREF0946_RS04575;HMPREF0946_RS04955;HMPREF0946_RS04960;HMPREF0946_RS05115;HMPREF0946_RS05260;HMPREF0946_RS05525;HMPREF0946_RS05535;HMPREF0946_RS05560;HMPREF0946_RS05720;HMPREF0946_RS06640;HMPREF0946_RS06930;HMPREF0946_RS07140;HMPREF0946_RS07160;HMPREF0946_RS07220;HMPREF0946_RS07705;HMPREF0946_RS07775;HMPREF0946_RS07805;HMPREF0946_RS08570;HMPREF0946_RS09265;HMPREF0946_RS09340;HMPREF0946_RS09355;HMPREF0946_RS09495;HMPREF0946_RS09500;HMPREF0946_RS10960;HMPREF0946_RS09975;HMPREF0946_RS09985;HMPREF0946_RS10040;HMPREF0946_RS10050;HMPREF0946_RS02670;HMPREF0946_RS01590;HMPREF0946_RS01360;HMPREF0946_RS00990;HMPREF0946_RS00340;HMPREF0946_RS00220;HMPREF0946_RS10865;HMPREF0946_RS10860;HMPREF0946_RS10610;HMPREF0946_RS03305;HMPREF0946_RS03295;HMPREF0946_RS03290;HMPREF0946_RS03275;HMPREF0946_RS03270;HMPREF0946_RS03170;HMPREF0946_RS00640"
"fnc02024",44,"Up",0.1932936306166,0.353132594395712,0.00255117601313456,0.0315659057930453,"Quorum sensing","HMPREF0946_RS05025;HMPREF0946_RS05375;HMPREF0946_RS05650;HMPREF0946_RS06175;HMPREF0946_RS07210;HMPREF0946_RS07570;HMPREF0946_RS07575;HMPREF0946_RS07580;HMPREF0946_RS07585;HMPREF0946_RS07590;HMPREF0946_RS08165;HMPREF0946_RS08180;HMPREF0946_RS08210;HMPREF0946_RS08215;HMPREF0946_RS08220;HMPREF0946_RS08225;HMPREF0946_RS08410;HMPREF0946_RS08415;HMPREF0946_RS08420;HMPREF0946_RS08425;HMPREF0946_RS08430;HMPREF0946_RS08605;HMPREF0946_RS08610;HMPREF0946_RS08615;HMPREF0946_RS08620;HMPREF0946_RS08625;HMPREF0946_RS09395;HMPREF0946_RS09400;HMPREF0946_RS09405;HMPREF0946_RS09410;HMPREF0946_RS09415;HMPREF0946_RS09670;HMPREF0946_RS09675;HMPREF0946_RS09680;HMPREF0946_RS09685;HMPREF0946_RS09690;HMPREF0946_RS02455;HMPREF0946_RS02450;HMPREF0946_RS02445;HMPREF0946_RS02440;HMPREF0946_RS10895;HMPREF0946_RS03065;HMPREF0946_RS03060;HMPREF0946_RS03055"
"fnc00350",2,"Down",0.206770044918343,0.370625552212123,0.665962000668233,0.951162538792863,"Tyrosine metabolism","HMPREF0946_RS06335;HMPREF0946_RS00570"
"fnc00860",12,"Up",0.214888912282922,0.37294680112276,0.239173250594979,0.58308825192514,"Porphyrin metabolism","HMPREF0946_RS03775;HMPREF0946_RS05260;HMPREF0946_RS05525;HMPREF0946_RS05535;HMPREF0946_RS05560;HMPREF0946_RS06930;HMPREF0946_RS07160;HMPREF0946_RS00340;HMPREF0946_RS10610;HMPREF0946_RS03170;HMPREF0946_RS00640;HMPREF0946_RS05545"
"fnc00562",2,"Up",0.215916569071072,0.37294680112276,1,1,"Inositol phosphate metabolism","HMPREF0946_RS10130;HMPREF0946_RS03035"
"fnc00561",3,"Up",0.225532043224595,0.382599001898867,0.831224204188561,1,"Glycerolipid metabolism","HMPREF0946_RS03405;HMPREF0946_RS03555;HMPREF0946_RS01975"
"fnc01232",11,"Up",0.231113305292905,0.384003949615378,0.782587367370952,1,"Nucleotide metabolism","HMPREF0946_RS07140;HMPREF0946_RS07255;HMPREF0946_RS07705;HMPREF0946_RS09240;HMPREF0946_RS10385;HMPREF0946_RS10390;HMPREF0946_RS01630;HMPREF0946_RS01590;HMPREF0946_RS01575;HMPREF0946_RS01360;HMPREF0946_RS00230"
"fnc00410",2,"Down",0.234444516607283,0.384003949615378,0.636344465294983,0.951162538792863,"beta-Alanine metabolism","HMPREF0946_RS03405;HMPREF0946_RS04685"
"fnc00061",7,"Up",0.280810988223687,0.452153286122887,0.505032006868731,0.905917906477478,"Fatty acid biosynthesis","HMPREF0946_RS05025;HMPREF0946_RS06175;HMPREF0946_RS02350;HMPREF0946_RS02210;HMPREF0946_RS01915;HMPREF0946_RS03195;HMPREF0946_RS03190"
