"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM","GENES"
"fnu00380",3,"Down",6.86204500167077e-06,1.71551125041769e-05,0.0859913492901657,0.104584073461012,"Tryptophan metabolism","cds-C4N14_09955;cds-C4N14_09750;cds-C4N14_03345"
"fnu03430",19,"Down",1.29604859941983e-05,3.15255064723742e-05,4.03775011548748e-14,1.21132503464625e-12,"Mismatch repair","cds-C4N14_04760;cds-C4N14_05260;cds-C4N14_09610;cds-C4N14_09560;cds-C4N14_09270;cds-C4N14_09150;cds-C4N14_08755;cds-C4N14_07585;cds-C4N14_06825;cds-C4N14_05595;cds-C4N14_05460;cds-C4N14_10345;cds-C4N14_00445;cds-C4N14_00470;cds-C4N14_01175;cds-C4N14_03915;cds-C4N14_03745;cds-C4N14_03460;cds-C4N14_02900"
"fnu00030",11,"Down",1.36731698094973e-05,3.23838232330198e-05,2.30087580900365e-07,4.70633688205291e-07,"Pentose phosphate pathway","cds-C4N14_04810;cds-C4N14_04815;cds-C4N14_05010;cds-C4N14_10105;cds-C4N14_09430;cds-C4N14_08825;cds-C4N14_08230;cds-C4N14_06345;cds-C4N14_03680;cds-C4N14_03060;cds-C4N14_01950"
"fnu00900",11,"Down",1.6824144001601e-05,3.83680815244814e-05,3.33892624952419e-08,8.90357697933121e-08,"Terpenoid backbone biosynthesis","cds-C4N14_02450;cds-C4N14_09835;cds-C4N14_09750;cds-C4N14_06090;cds-C4N14_05480;cds-C4N14_05470;cds-C4N14_05465;cds-C4N14_10740;cds-C4N14_00465;cds-C4N14_01475;cds-C4N14_01505"
"fnu00561",7,"Down",1.70524806775473e-05,3.83680815244814e-05,0.000832631441214847,0.00127011575778536,"Glycerolipid metabolism","cds-C4N14_04115;cds-C4N14_09955;cds-C4N14_09805;cds-C4N14_09555;cds-C4N14_03870;cds-C4N14_03865;cds-C4N14_03860"
"fnu00630",3,"Down",3.44867335513528e-05,7.57025858444329e-05,0.141188638533356,0.167197071947395,"Glyoxylate and dicarboxylate metabolism","cds-C4N14_09750;cds-C4N14_03800;cds-C4N14_03790"
"fnu01230",37,"Down",4.82372629161841e-05,0.000103365563391823,3.5365262473987e-09,1.22418216256109e-08,"Biosynthesis of amino acids","cds-C4N14_02565;cds-C4N14_04180;cds-C4N14_04745;cds-C4N14_04810;cds-C4N14_04815;cds-C4N14_04955;cds-C4N14_05010;cds-C4N14_05175;cds-C4N14_10105;cds-C4N14_10035;cds-C4N14_09115;cds-C4N14_08980;cds-C4N14_08970;cds-C4N14_08825;cds-C4N14_08575;cds-C4N14_08570;cds-C4N14_08330;cds-C4N14_08155;cds-C4N14_08105;cds-C4N14_07565;cds-C4N14_07510;cds-C4N14_07505;cds-C4N14_07095;cds-C4N14_06885;cds-C4N14_06625;cds-C4N14_06380;cds-C4N14_06030;cds-C4N14_10260;cds-C4N14_10485;cds-C4N14_10860;cds-C4N14_00375;cds-C4N14_01300;cds-C4N14_01305;cds-C4N14_01390;cds-C4N14_01395;cds-C4N14_03680;cds-C4N14_03060"
"fnu00310",12,"Down",6.08126738239413e-05,0.000124840539593797,5.72294613178763e-07,1.07305239971018e-06,"Lysine degradation","cds-C4N14_04720;cds-C4N14_04725;cds-C4N14_09955;cds-C4N14_09750;cds-C4N14_03785;cds-C4N14_03780;cds-C4N14_03755;cds-C4N14_03750;cds-C4N14_03735;cds-C4N14_03730;cds-C4N14_03725;cds-C4N14_03720"
"fnu00430",5,"Down",6.10331526903008e-05,0.000124840539593797,0.00440427165305346,0.00609822228884326,"Taurine and hypotaurine metabolism","cds-C4N14_09785;cds-C4N14_07790;cds-C4N14_07470;cds-C4N14_06265;cds-C4N14_06260"
"fnu00330",5,"Down",8.16940346242611e-05,0.000163388069248522,0.00331175919482483,0.00480739237958443,"Arginine and proline metabolism","cds-C4N14_09955;cds-C4N14_09725;cds-C4N14_08445;cds-C4N14_06875;cds-C4N14_06380"
"fnu00052",9,"Down",0.000109156068800406,0.000213566221566013,8.00155228789584e-08,1.80034926477656e-07,"Galactose metabolism","cds-C4N14_05280;cds-C4N14_10105;cds-C4N14_09430;cds-C4N14_06300;cds-C4N14_05800;cds-C4N14_01055;cds-C4N14_02205;cds-C4N14_02210;cds-C4N14_02215"
"fnu02060",12,"Down",0.000127675809015505,0.000244485591731818,9.14610734070994e-12,6.33192046664535e-11,"Phosphotransferase system (PTS)","cds-C4N14_09095;cds-C4N14_09090;cds-C4N14_09080;cds-C4N14_07595;cds-C4N14_10630;cds-C4N14_10635;cds-C4N14_10880;cds-C4N14_00270;cds-C4N14_01480;cds-C4N14_01530;cds-C4N14_01535;cds-C4N14_03445"
"fnu01210",3,"Down",0.000156437855600901,0.00029332097925169,0.0985519973629615,0.118262396835554,"2-Oxocarboxylic acid metabolism","cds-C4N14_06380;cds-C4N14_06270;cds-C4N14_10535"
"fnu01503",2,"Down",0.00017860525805754,0.000328050473983237,0.530500935641835,0.575241978406809,"Cationic antimicrobial peptide (CAMP) resistance","cds-C4N14_09255;cds-C4N14_05430"
"fnu00020",3,"Down",0.000220928343755344,0.00039767101875962,0.143291231364418,0.16748325743893,"Citrate cycle (TCA cycle)","cds-C4N14_06555;cds-C4N14_06270;cds-C4N14_10535"
"fnu00540",17,"Down",0.000278752567481264,0.000491916295555171,2.32603354929661e-10,1.2314295260982e-09,"Lipopolysaccharide biosynthesis","cds-C4N14_04460;cds-C4N14_09720;cds-C4N14_09520;cds-C4N14_09265;cds-C4N14_09255;cds-C4N14_09250;cds-C4N14_09245;cds-C4N14_08185;cds-C4N14_07655;cds-C4N14_07525;cds-C4N14_07090;cds-C4N14_06495;cds-C4N14_06010;cds-C4N14_00590;cds-C4N14_01040;cds-C4N14_01500;cds-C4N14_03530"
"fnu00350",2,"Down",0.000296130375338239,0.000512533341931568,0.331255127358654,0.368061252620727,"Tyrosine metabolism","cds-C4N14_06380;cds-C4N14_03080"
"fnu00740",6,"Down",0.000304700761731648,0.000517416387846195,0.0074719663942022,0.010189045083003,"Riboflavin metabolism","cds-C4N14_08690;cds-C4N14_07800;cds-C4N14_00055;cds-C4N14_00060;cds-C4N14_00065;cds-C4N14_00070"
"fnu01250",27,"Down",0.000360719905295165,0.000590876265862902,3.58562887248651e-11,2.15137732349191e-10,"Biosynthesis of nucleotide sugars","cds-C4N14_04460;cds-C4N14_05230;cds-C4N14_05280;cds-C4N14_09965;cds-C4N14_09720;cds-C4N14_09430;cds-C4N14_08185;cds-C4N14_07905;cds-C4N14_07900;cds-C4N14_07655;cds-C4N14_07525;cds-C4N14_06300;cds-C4N14_06010;cds-C4N14_05800;cds-C4N14_05615;cds-C4N14_10695;cds-C4N14_00125;cds-C4N14_00890;cds-C4N14_00950;cds-C4N14_01020;cds-C4N14_01040;cds-C4N14_01500;cds-C4N14_03065;cds-C4N14_01950;cds-C4N14_02205;cds-C4N14_02210;cds-C4N14_02215"
